"Step","OIALR MSE","OIALR MSE__MIN","OIALR MSE__MAX","OIALR Trainable Parameters","OIALR Trainable Parameters__MIN","OIALR Trainable Parameters__MAX","Baseline MSE","Baseline MSE__MIN","Baseline MSE__MAX"
"0","0.2893839379151662","0.27607688307762146","0.30559179186820984","48.194159350282355","48.13248442364866","48.25426519794548","0.2741240660349528","0.2719830572605133","0.2779243290424347"
"1","0.26925839980443317","0.2674712538719177","0.2705270051956177","37.22085302155734","37.14130451390803","37.36828633894365","0.27486265699068707","0.2693984806537628","0.27844327688217163"
"2","0.2724881668885549","0.267715722322464","0.2760128080844879","22.13722411771813","22.090189710188902","22.208468527992924","0.28595351179440814","0.2773856520652771","0.3020070493221283"
"3","0.2684343159198761","0.26665690541267395","0.27020543813705444","7.1441937071012305","7.133456904629197","7.164794195521348","0.30770795543988544","0.30048274993896484","0.31706616282463074"
"4","0.2688373774290085","0.2673788070678711","0.2702959477901459","3.2410654792788094","3.2379526290629927","3.2441783294946256","0.3243669271469116","0.3231586515903473","0.32557520270347595"
